alpha,eta,rho,fisher_damping,T,theta_lr,D_theta,theta_mode,theta_optimizer,theta_inner_steps,theta_start_mode,theta_include_beta_cov,d_theta_scale,beta_update,policy_optimizer,policy_gradient,cg_iters,cg_tol,state_weight_update,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,0.002,0.1,0.001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,130.3272327077575,0.28,-0.621977717035,1.0194275412182026,1.8425194805542886,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08331519570324125,-0.07666016523893451,0.00015003827373346557,-0.08422100860586425,5.0,1.3322186877913486e-07,0.0032699364056361624,0.047857561606963896,25304
0.001,0.002,0.1,0.0001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,121.92995439004153,0.28,-0.621977717035,1.0192648840687113,1.842595337312693,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08328106911707008,-0.07663953566884416,0.00010675253134660484,-0.08418316182391752,5.0,2.2162206027306457e-05,0.057363218152622776,0.04780764935358845,25155
0.0005,0.002,0.01,0.001,4000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,206.92156567284837,0.28,-0.621977717035,1.0192194661758065,1.842681932222846,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08326532910488739,-0.06816913914263106,0.00033658773247154534,-0.08531633720389334,5.0,1.8259879442273514e-07,0.0032178395434887667,0.04709847062761363,16333
0.0005,0.002,0.001,0.0001,4000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,205.449012957979,0.28,-0.621977717035,1.0191765324024586,1.842703610250361,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08312287970883986,-0.06781761847318343,0.0002569074507700659,-0.08517373759026958,4.999999999999999,9.93283733244433e-05,0.0866640770677143,0.04696605708886853,15748
0.001,0.002,0.1,0.001,1600,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,81.49371061800048,0.28,-0.621977717035,1.0190589340953868,1.8427373541652359,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08383753601184017,-0.07954391130127315,9.275867026397678e-05,-0.08441803317720652,5.000000000000001,2.806771635321216e-05,0.04275733001227167,0.04816878240218094,25260
0.0005,0.002,0.01,0.001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,125.21600686293095,0.28,-0.621977717035,1.0188787137642064,1.8428750224583195,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08326350176961518,-0.07458925109815359,9.655758373764652e-05,-0.08444588067279353,5.0,9.545244127635838e-08,0.0337195324287016,0.04754300642023111,16229
0.0005,0.002,0.001,0.0001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,121.48612450668588,0.28,-0.621977717035,1.0188741065006177,1.8428718989845532,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08321651120448925,-0.0739559755841562,0.00017513438452323004,-0.08447821784587589,5.0,4.0041600293522124e-07,0.03369306004070612,0.04751263626494826,15646
0.001,0.001,0.001,0.001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,125.11501322174445,0.28,-0.621977717035,1.0187704430385267,1.8429304468996015,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08337200867492511,-0.0789696467796527,2.5952127011940633e-05,-0.08396256771188373,4.999999999999999,4.375445298575738e-05,0.06697434826576683,0.048580261539966745,22706
0.0005,0.002,0.01,0.001,1600,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,80.91572904912755,0.28,-0.621977717035,1.018708355324434,1.8429687219856052,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.0833445361027668,-0.07838874398301215,2.234202366406422e-05,-0.08399870915846157,5.0,8.456537782051604e-05,0.07744579010986961,0.047939882119914706,16189
0.001,0.001,0.001,0.001,2500,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,97.08585296478122,0.28,-0.621977717035,1.0186883663919122,1.8429783884921798,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08334114816269737,-0.07897196362757083,4.787882314993961e-05,-0.08392792009444595,5.000000000000001,4.00604811088047e-05,0.05057978660530313,0.04862529659729619,22682
0.0002,0.002,0.1,0.01,4000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,197.47703096736223,0.28,-0.621977717035,1.0186567553983028,1.842997716140389,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.0833746157745843,-0.07286127354117682,3.667710286412389e-05,-0.0847071346017155,5.0,0.00044756530082985276,0.11062888558047151,0.04749855575708803,8251
0.001,0.001,0.001,0.001,1600,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,72.42549897218123,0.28,-0.621977717035,1.0186086060152022,1.8430203907786964,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08343537863153339,-0.08094916207972734,4.4023521647350365e-05,-0.08377068940763899,5.000000000000001,1.9517794937650963e-05,0.043848845792632124,0.04888216895882767,22670
0.001,0.0005,0.001,0.0001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,123.66554444236681,0.28,-0.621977717035,1.0185765173756378,1.8430475328476479,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08361897107882388,-0.08135664195922225,5.041237347362864e-05,-0.08392604153450067,5.0,7.990014836168365e-08,0.0031764428739164494,0.04926835511757526,20833
0.0005,0.002,0.1,0.01,1600,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,80.70839730696753,0.28,-0.621977717035,1.0185759646232706,1.8430389459077023,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08351309246753158,-0.07929034794916656,9.430053972369297e-05,-0.08408674002319559,5.0,1.2095804219933865e-07,0.003221779404829538,0.048153291458404336,16756
0.0005,0.001,0.1,0.0001,2500,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,128.24435032205656,0.28,-0.621977717035,1.018572213016505,1.843047975664101,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08342983199213011,-0.07959963928386404,-3.810977747227098e-05,-0.08391787163291775,5.0,0.00012742597649646948,0.0863740835988355,0.04869318258219976,14783
0.001,0.001,0.1,0.01,1600,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,80.1101601938717,0.28,-0.621977717035,1.018559353288576,1.8430544355527398,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08344216350952091,-0.08125597837698041,-1.0983222654614384e-05,-0.08371716375655301,5.0,6.641442505657939e-05,0.07329435953686292,0.04893403731178203,23664
0.0005,0.002,0.01,0.001,1000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,50.68246565479785,0.28,-0.621977717035,1.0185498366191348,1.8430560476410116,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08341025427021975,-0.08126978451785938,-3.865775708814121e-05,-0.08369146936011979,5.0,4.908618809502545e-05,0.05146247513987345,0.048264364357341084,16132
0.0002,0.002,0.1,0.01,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,127.7735365559347,0.28,-0.621977717035,1.018541524925047,1.843062010618052,1.0,-0.34389999999999993,6.217100000000002,0.0,-0.08335075424449295,-0.0771965757660232,4.167463978870564e-05,-0.08418902990063576,5.0,1.0778940048950099e-06,0.033733978019048094,0.04776278614657637,8166
