Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Task Success,On-Data Quality,Optimal States Quality,Final Reward
24000,0.7,70% Eps-Greedy / 30% Random,Fixed,67.37571858152553,1.8285034100957545,-1.5491268836289525,1.7992146533689677,0.3996361354070355,0.1549126883628952
8000,0.3,100% Eps-Greedy,Random,66.03673429916513,1.819785588047443,-1.2533382547052512,1.2645170479284435,0.2843350303927258,0.1253338254705251
12000,0.3,100% Eps-Greedy,Random,66.00883782004055,1.8196020864436535,-1.3849333352221636,1.9147736361983785,0.25658545701848806,0.13849333352221632
16000,0.3,100% Eps-Greedy,Random,65.99482564965449,1.8195098858464722,-1.716755112005283,2.3008409398373466,0.2600657655163596,0.17167551120052826
20000,0.3,100% Eps-Greedy,Random,65.9362068231408,1.8191239594410067,-1.1805209365953717,1.1287159202648134,0.28113283989645654,0.11805209365953714
24000,0.3,100% Eps-Greedy,Random,65.90137753549776,1.8188944927398762,-1.23315773347812,1.157139235207694,0.28531099405647,0.12331577334781198
8000,0.4,100% Eps-Greedy,Random,66.08257225593917,1.8200869395002546,-1.4425329699536436,3.588000330663523,0.47705951472524327,0.14425329699536432
12000,0.4,100% Eps-Greedy,Random,66.15540150541614,1.8205653095700198,-1.3463815622867616,1.6006825264030053,0.24132158545584986,0.13463815622867614
16000,0.4,100% Eps-Greedy,Random,66.12411862995243,1.820359896359701,-1.0947125770483794,0.987895228635558,0.23622489557588147,0.10947125770483791
20000,0.4,100% Eps-Greedy,Random,66.20755584392609,1.8209075555132652,-1.0647674434732661,1.1551692599065062,0.23150787183787347,0.10647674434732658
24000,0.4,100% Eps-Greedy,Random,66.05042994713111,1.8198756489461376,-1.0582824906574373,0.9877422191265062,0.23502973886112677,0.1058282490657437
8000,0.5,100% Eps-Greedy,Random,66.33537970708707,1.8217452194054342,-1.0637035036430926,1.5623710835833904,0.22095370250870774,0.10637035036430924
12000,0.5,100% Eps-Greedy,Random,66.14157220701745,1.8204745140236596,-1.049330504296227,0.9903352070893142,0.2316695563633914,0.10493305042962268
16000,0.5,100% Eps-Greedy,Random,66.19508154507075,1.8208257215063097,-1.0280555416932544,0.9603916231512966,0.2281612595657391,0.10280555416932542
20000,0.5,100% Eps-Greedy,Random,66.15269914343759,1.8205475688437938,-1.3440125800801457,1.758513563740631,0.2333657472827368,0.13440125800801453
24000,0.5,100% Eps-Greedy,Random,66.19371786644246,1.820816774554513,-0.9988735090168198,0.9572567724398038,0.22343239416897182,0.09988735090168196
8000,0.6,100% Eps-Greedy,Random,66.29002946559162,1.8214482120593314,-1.08578095893956,1.0391530218620684,0.2155315418152432,0.10857809589395596
12000,0.6,100% Eps-Greedy,Random,66.4551692563001,1.8225287684566418,-0.9925298972076966,0.9427486089170088,0.2187262087392452,0.09925298972076964
16000,0.6,100% Eps-Greedy,Random,66.53978057711645,1.8230813643971762,-1.0478504678689575,0.9698520057258682,0.2132739409965503,0.10478504678689574
20000,0.6,100% Eps-Greedy,Random,66.4050068064022,1.8222008255489899,-1.0425300894509728,0.9869396484898593,0.22278438444514018,0.10425300894509726
24000,0.6,100% Eps-Greedy,Random,66.45078387365784,1.8225001083787686,-1.022048600073931,0.976895823016037,0.22366720093238954,0.10220486000739308
8000,0.7,100% Eps-Greedy,Random,66.78973318849911,1.8247097085494177,-1.0658075066824901,1.0183400874448634,0.22650550213182027,0.10658075066824899
12000,0.7,100% Eps-Greedy,Random,66.8835023240759,1.8253190066587563,-1.3222212992963047,1.1078751890675542,0.21072046353645485,0.13222212992963045
16000,0.7,100% Eps-Greedy,Random,66.72583682805599,1.82429402910665,-1.0813340774160751,1.001829759129527,0.21572354627676782,0.10813340774160748
20000,0.7,100% Eps-Greedy,Random,66.7413645826996,1.8243950819213823,-1.133060519039648,1.017640916274316,0.2147978428687545,0.11330605190396478
24000,0.7,100% Eps-Greedy,Random,66.81144211669384,1.8248508460474142,-1.0665592052332054,0.981874699112583,0.22105591890421916,0.10665592052332051
8000,0.3,90% Eps-Greedy / 10% Random,Random,66.08827751569132,1.8201244328330735,-1.3096854361369066,1.7935177274916232,0.4845559700912575,0.13096854361369062
12000,0.3,90% Eps-Greedy / 10% Random,Random,66.28770399990555,1.8214329766666448,-1.1922161147975843,0.9188258199393651,0.225455757207956,0.1192216114797584
16000,0.3,90% Eps-Greedy / 10% Random,Random,66.0504913613095,1.819876052756172,-1.0717295595947496,0.9744802111928673,0.22816473326169348,0.10717295595947493
20000,0.3,90% Eps-Greedy / 10% Random,Random,66.15532832373992,1.8205648291494494,-1.1021174802440976,0.9255636014138644,0.21809777093661273,0.11021174802440974
24000,0.3,90% Eps-Greedy / 10% Random,Random,66.16938765172897,1.8206571155910696,-1.3640478736527877,1.0604676935672173,0.228660071296756,0.13640478736527875
8000,0.4,90% Eps-Greedy / 10% Random,Random,66.13477452690714,1.8204298772456242,-1.3552814346043485,1.1414207569502801,0.21064096606937638,0.13552814346043482
12000,0.4,90% Eps-Greedy / 10% Random,Random,66.14240894571275,1.82048000812801,-1.107857828526788,0.9691649830523139,0.22276065003560858,0.11078578285267877
16000,0.4,90% Eps-Greedy / 10% Random,Random,66.3033221780942,1.8215352896033739,-1.2228073166211253,0.986262776212272,0.21620957442833455,0.12228073166211251
20000,0.4,90% Eps-Greedy / 10% Random,Random,66.10711168104415,1.8202481825975552,-1.0999974303233895,0.9911976515440706,0.2293330854580558,0.10999974303233892
24000,0.4,90% Eps-Greedy / 10% Random,Random,66.33599143609845,1.8217492243468436,-1.142206145222064,0.924145781615783,0.21112911820917452,0.11422061452220637
8000,0.5,90% Eps-Greedy / 10% Random,Random,66.51147888613991,1.82289660450156,-1.2106957941695653,1.0296175711028888,0.19954258382165238,0.12106957941695651
12000,0.5,90% Eps-Greedy / 10% Random,Random,66.34337458558264,1.8217975583294288,-1.0302610521943458,0.9366665211197753,0.21834560831641234,0.10302610521943456
16000,0.5,90% Eps-Greedy / 10% Random,Random,66.41473377257414,1.8222644360894604,-1.3441417373591011,1.0588984052793626,0.2299916501616552,0.13441417373591008
20000,0.5,90% Eps-Greedy / 10% Random,Random,66.37231069852918,1.8219869375177686,-1.056447295610086,0.9472853555602533,0.21171489137971572,0.1056447295610086
24000,0.5,90% Eps-Greedy / 10% Random,Random,66.34549707388304,1.8218114522595725,-1.2028876473484384,1.0220012894930735,0.20047910248159745,0.12028876473484382
8000,0.6,90% Eps-Greedy / 10% Random,Random,66.49930381501387,1.8228170986733225,-1.0654092115399707,0.9686680430305165,0.20870078871916087,0.10654092115399705
12000,0.6,90% Eps-Greedy / 10% Random,Random,66.56612699503965,1.8232532892092315,-1.0723903409799607,0.9787868052451074,0.21749053042670416,0.10723903409799604
16000,0.6,90% Eps-Greedy / 10% Random,Random,66.57528559126897,1.8233130381293214,-1.0213913118999436,0.9576649567038683,0.2228960555496881,0.10213913118999433
20000,0.6,90% Eps-Greedy / 10% Random,Random,66.45324548756251,1.8225161961579073,-1.13732260066292,1.0294675411090966,0.217667377242757,0.11373226006629197
24000,0.6,90% Eps-Greedy / 10% Random,Random,66.72365384369516,1.8242798206138742,-1.1877343293937506,0.9839655292992471,0.20277948289018877,0.11877343293937503
8000,0.7,90% Eps-Greedy / 10% Random,Random,66.92601704787822,1.8255949797084312,-1.1573692530408557,1.0157071341949173,0.21154370955513754,0.11573692530408554
12000,0.7,90% Eps-Greedy / 10% Random,Random,67.06872903542647,1.8265200764594687,-1.405298093123456,1.0809734431427138,0.21411044973694254,0.14052980931234557
16000,0.7,90% Eps-Greedy / 10% Random,Random,66.89711256557325,1.8254073730159441,-1.0551525374744788,0.9877759704158373,0.22768848580275833,0.10551525374744786
20000,0.7,90% Eps-Greedy / 10% Random,Random,67.04257838188991,1.8263507084189694,-1.3338531069119852,1.0716810834231376,0.20625051385462556,0.1333853106911985
24000,0.7,90% Eps-Greedy / 10% Random,Random,66.88570423210925,1.8253333040674538,-1.077291353941465,1.0029989846904004,0.23265690593884045,0.10772913539414648
8000,0.3,80% Eps-Greedy / 20% Random,Random,66.11226682857944,1.8202820483160957,-1.3456474237573985,1.0846337560760473,0.2028297291393326,0.13456474237573982
12000,0.3,80% Eps-Greedy / 20% Random,Random,66.36663152330881,1.8219497753343101,-1.3801916124525386,1.047664485009507,0.2281685425247466,0.13801916124525382
16000,0.3,80% Eps-Greedy / 20% Random,Random,66.26842945365233,1.8213066780349654,-1.4636418677818335,1.1312844174085062,0.18658377976841367,0.1463641867781833
20000,0.3,80% Eps-Greedy / 20% Random,Random,66.25483466824656,1.8212175745806516,-1.2112740135933988,0.9640474655908711,0.195259225633201,0.12112740135933986
24000,0.3,80% Eps-Greedy / 20% Random,Random,66.36952063734167,1.8219686809039206,-1.2618013763816307,1.0163983724610735,0.19193504413864854,0.12618013763816305
8000,0.4,80% Eps-Greedy / 20% Random,Random,66.52838106880594,1.8230069552596855,-1.3060053151306994,1.0384509862430842,0.20136421229343615,0.1306005315130699
12000,0.4,80% Eps-Greedy / 20% Random,Random,66.3994523608751,1.8221644974759872,-1.0945469393515896,0.9110871046477544,0.2154955077837405,0.10945469393515894
16000,0.4,80% Eps-Greedy / 20% Random,Random,66.4854968929753,1.8227269188927304,-1.2421313395802764,0.9779369260868361,0.20071814921679237,0.12421313395802762
20000,0.4,80% Eps-Greedy / 20% Random,Random,66.52329880171762,1.8229737771659518,-1.3143826194738526,0.9969507419598206,0.1972341026170712,0.13143826194738523
24000,0.4,80% Eps-Greedy / 20% Random,Random,66.5847552016955,1.8233748074038945,-1.295590221076845,0.9742924791297733,0.19471109385234997,0.12955902210768447
8000,0.5,80% Eps-Greedy / 20% Random,Random,66.4579807139546,1.8225471413647538,-1.0607456782923337,0.9133554747693032,0.20218795602162057,0.10607456782923334
12000,0.5,80% Eps-Greedy / 20% Random,Random,66.56510421520807,1.823246616280077,-1.0715695326491088,0.9109184479104854,0.21212713371713995,0.10715695326491086
16000,0.5,80% Eps-Greedy / 20% Random,Random,66.42850910113083,1.8223545053932593,-1.1455733627130884,0.9816477195730455,0.20500464297156915,0.11455733627130882
20000,0.5,80% Eps-Greedy / 20% Random,Random,66.49738713318855,1.8228045810033802,-1.286924812445065,1.0352465367295423,0.19698819592842282,0.12869248124450647
24000,0.5,80% Eps-Greedy / 20% Random,Random,66.65374826097508,1.8238245769049637,-1.1481161842751961,0.9459665816713017,0.1993325428595165,0.1148116184275196
8000,0.6,80% Eps-Greedy / 20% Random,Random,66.99085357457083,1.8260155114582792,-1.5168937783613294,1.1822372528659901,0.21702312761037432,0.1516893778361329
12000,0.6,80% Eps-Greedy / 20% Random,Random,66.81766037412737,1.8248912647113438,-1.178840356762441,0.9900124812153984,0.20235901067137435,0.11788403567624407
16000,0.6,80% Eps-Greedy / 20% Random,Random,66.82186998476509,1.8249186250390343,-1.185272352039378,1.0335804442266603,0.21214708357877798,0.11852723520393778
20000,0.6,80% Eps-Greedy / 20% Random,Random,66.86910555210339,1.8252255140719829,-1.2651770717797606,0.99820925964975,0.1972693873960287,0.12651770717797603
24000,0.6,80% Eps-Greedy / 20% Random,Random,66.79159796733285,1.824721833943745,-1.2823692205542365,1.0184580245235753,0.1976159205188969,0.1282369220554236
8000,0.7,80% Eps-Greedy / 20% Random,Random,67.05029170500494,1.82640067160743,-1.2775090529143986,1.0625301474741522,0.21780148721049294,0.12775090529143984
12000,0.7,80% Eps-Greedy / 20% Random,Random,67.2387703649291,1.827619762640589,-1.3071185698701753,1.0803947600971457,0.21305727344496425,0.1307118569870175
16000,0.7,80% Eps-Greedy / 20% Random,Random,67.1780474384483,1.8272273767156644,-1.356188743946455,1.0756907303690313,0.20904971898635938,0.13561887439464548
20000,0.7,80% Eps-Greedy / 20% Random,Random,67.16132942909499,1.8271192842201158,-1.2662985998521,1.0459821605466983,0.2121306941932752,0.12662985998520995
24000,0.7,80% Eps-Greedy / 20% Random,Random,67.13031713672899,1.8269186988817188,-1.265725968256268,1.0210070509419,0.20821212157529256,0.12657259682562677
8000,0.3,70% Eps-Greedy / 30% Random,Random,66.52212075442338,1.8229660862669936,-1.3955972405391592,1.041830766995985,0.18162584755056707,0.1395597240539159
12000,0.3,70% Eps-Greedy / 30% Random,Random,66.48428925542476,1.8227190303288763,-1.2895182920597978,1.0285422934507986,0.19707726458010827,0.12895182920597975
16000,0.3,70% Eps-Greedy / 30% Random,Random,66.60235835423302,1.823489607580151,-1.4013979732358346,1.0199679784158786,0.18053611780936374,0.14013979732358342
20000,0.3,70% Eps-Greedy / 30% Random,Random,66.46892531566695,1.8226186570613574,-1.4048832531791622,1.0438221974511517,0.19024013342423374,0.1404883253179162
24000,0.3,70% Eps-Greedy / 30% Random,Random,66.56049168290733,1.8232165214314777,-1.4287114260681657,1.0099064619093117,0.1787399033858577,0.14287114260681655
8000,0.4,70% Eps-Greedy / 30% Random,Random,66.70151070252163,1.824135670233477,-1.734542601549866,2.288737010255932,0.1929539302665367,0.17345426015498655
12000,0.4,70% Eps-Greedy / 30% Random,Random,66.60140378929836,1.8234833830970423,-1.4468891154536725,1.0641471025745253,0.18923715417940154,0.14468891154536723
16000,0.4,70% Eps-Greedy / 30% Random,Random,66.68420574879966,1.824022982816066,-1.3912798144493443,1.0263495554654447,0.18747758872463094,0.1391279814449344
20000,0.4,70% Eps-Greedy / 30% Random,Random,66.60205307962013,1.8234876169692034,-1.355905155484769,1.0095413490941398,0.18368553761939346,0.13559051554847687
24000,0.4,70% Eps-Greedy / 30% Random,Random,66.64635515498628,1.823776403121807,-1.4596945026117265,1.0739244980527627,0.18556882894335353,0.1459694502611726
8000,0.5,70% Eps-Greedy / 30% Random,Random,66.66332457734681,1.823886968634332,-1.1641950916455674,0.9713130169391562,0.19879799367484732,0.11641950916455672
12000,0.5,70% Eps-Greedy / 30% Random,Random,66.82440884065315,1.8249351254775406,-1.2565738436764844,0.940273642820854,0.2005985683054208,0.12565738436764842
16000,0.5,70% Eps-Greedy / 30% Random,Random,66.70158307315808,1.8241361414394612,-1.2689066190539842,1.0162335375825469,0.19430901603966547,0.12689066190539838
20000,0.5,70% Eps-Greedy / 30% Random,Random,66.6978995909598,1.8241121575984245,-1.3213589948071927,1.0372608461657131,0.19193205296229937,0.13213589948071924
24000,0.5,70% Eps-Greedy / 30% Random,Random,66.66407399013467,1.8238918508392192,-1.1592139620283062,0.9282625440484256,0.19810672154297304,0.1159213962028306
8000,0.6,70% Eps-Greedy / 30% Random,Random,66.91175825364789,1.825502442072292,-1.5430194004298876,1.2588313411085559,0.2202638975225772,0.15430194004298872
12000,0.6,70% Eps-Greedy / 30% Random,Random,66.84069628400458,1.8250409653195883,-1.3676706283732438,1.082481941347165,0.2033322679510039,0.13676706283732434
16000,0.6,70% Eps-Greedy / 30% Random,Random,67.01391652654051,1.8261650003588337,-1.2824918871786974,1.0193496024823276,0.20107194501957648,0.12824918871786972
20000,0.6,70% Eps-Greedy / 30% Random,Random,67.09119534898947,1.8266655296735352,-1.4045692198700241,1.06272880217007,0.198235172971422,0.14045692198700238
24000,0.6,70% Eps-Greedy / 30% Random,Random,66.8490086177054,1.8250949709839035,-1.2538440549531045,1.0415530132277735,0.2021216682541458,0.1253844054953104
8000,0.7,70% Eps-Greedy / 30% Random,Random,67.6022247987467,1.829960988869442,-1.431654654507485,1.113197666439049,0.22946123454545742,0.14316546545074849
12000,0.7,70% Eps-Greedy / 30% Random,Random,67.51610514746616,1.8294073808665303,-1.4603872927895012,1.0646073433409704,0.20754854442817955,0.1460387292789501
16000,0.7,70% Eps-Greedy / 30% Random,Random,67.48708255450259,1.8292206541323943,-1.5552368924180557,1.1328701152855618,0.2099131780479201,0.15552368924180554
20000,0.7,70% Eps-Greedy / 30% Random,Random,67.54301404122037,1.8295804367001003,-1.537182747444276,1.1276366397325452,0.21209109681467425,0.15371827474442756
24000,0.7,70% Eps-Greedy / 30% Random,Random,67.40229501590552,1.8286746843064572,-1.3598459835424856,1.049157756909314,0.20871667470890098,0.13598459835424853
